OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape__Area,Shape__Length,population,pop_2020,popchange10to20,area_km2,area_hectares,pop_growth_rate,pop_growth_density,JoinKey,less than high school,commuting time,GEOID,citizen ratio,unemployment,unrelated individual,per capita income,GINI index,gross rent,%structure early built,median structure year,facility density,pop_density,tree_count,good_tree_count,ComFAR,ResFAR,assesstot,NumFloors,Avr floor area,building_count,avr height,building density,growth_classify,growth_classify2,pop change type,tree density,good tree density,popchange10to20_binary
11,58,3,Brooklyn,5800,3005800,E,BK31,Bay Ridge,4013,2080303.38856506,6098.16780089138,3152,3450,298,0.19326642570785976,19.326642570785978,0.09454314720812183,15.41912926202996,Brooklyn_5800,0.092654116,48.31749528,14000US36047005800,0.836571429,7.7,25.4,32724,0.468,1093,0.827485380116959,1939,1.707,163.09092427489406,179,123,0.2986605154513287,1.093890264897063,109499.73002159827,2.374190064794816,1794.7518762792813,555,27.306192992414417,28.716834699418214,2,2,1,9.261825966118668,6.364271473925117,1
12,60,3,Brooklyn,6000,3006000,I,BK31,Bay Ridge,4013,1639074.02629089,5498.33438799147,2826,2876,50,0.15227489426450258,15.227489426450257,0.017692852087756547,3.283535361590838,Brooklyn_6000,0.164597949,49.12003244,14000US36047006000,0.782479898,6.9,15.2,41141,0.446,1136,0.7781299524564184,1939,2.298,185.58541863711415,176,84,0.2591490481493386,1.120560465986602,72321.3517699115,2.2450221238938055,1493.2121212121212,564,26.03386810996454,37.03827887874465,1,1,1,11.558044472799748,5.516339407472607,1
13,74,3,Brooklyn,7400,3007400,E,BK32,Sunset Park West,4012,1516612.8817749,4994.56360044605,5451,5829,378,0.14089788655553354,14.089788655553354,0.0693450742982939,26.827939668989636,Brooklyn_7400,0.606257379,51.62232143,14000US36047007400,0.584378359,7.6,30.9,12842,0.454,1023,0.9548651817116061,1939,2.058,386.87592363931884,128,115,0.3119654647632787,1.4419739459896481,74661.69523809524,2.585714285714286,1630.0460405156539,422,35.3765198857583,29.950768625168326,2,2,1,9.084593327065274,8.161939317285206,1
14,78,3,Brooklyn,7800,3007800,E,BK32,Sunset Park West,4012,1509791.95993042,4986.67159567731,5068,5333,265,0.1402642024534158,14.026420245341582,0.05228887134964483,18.892917463243062,Brooklyn_7800,0.509711432,44.36459602,14000US36047007800,0.673358939,11.4,40,17377,0.526,1126,0.9083885209713024,1939,2.78,361.31813473100317,166,162,0.33241461407353784,1.3414803231330077,59691.0367816092,2.5160919540229885,1544.2640475102787,437,35.50753089997712,31.155490307310256,2,1,1,11.834808675088107,11.54963256243538,1
15,98,3,Brooklyn,9800,3009800,E,BK34,Sunset Park East,4012,1625498.61897278,5203.97932789585,7024,7440,416,0.15101369819842816,15.101369819842818,0.05922551252847381,27.547169890070933,Brooklyn_9800,0.513372957,48.65081206,14000US36047009800,0.603440402,6.6,40.5,13082,0.466,927,0.9206019719771665,1939,2.251,465.1233685285054,174,55,0.31599728930441806,1.405661293065909,71058.49375,2.509375,1605.1075134910752,500,32.11662756,33.109579194796794,2,1,1,11.522133559789285,3.6420537114276477,1
16,102,3,Brooklyn,10200,3010200,E,BK34,Sunset Park East,4012,1640687.73899841,5223.37845105432,5622,6578,956,0.1524248130161693,15.24248130161693,0.17004624688722875,62.71944712168268,Brooklyn_10200,0.535092492,53.39661017,14000US36047010200,0.557773302,7.3,31,16311,0.46,1130,0.9684343434343434,1939,2.493,368.8375854791841,204,133,0.47183570770051053,1.2513708560026107,70088.28066528066,2.312889812889813,1737.2431460674156,475,30.437508070442103,31.16290521213313,2,2,1,13.383647712158227,8.725613459397277,1
17,104,3,Brooklyn,10400,3010400,E,BK34,Sunset Park East,4012,1639390.80865479,5221.79169185597,5908,2990,-2918,0.15230432429645593,15.230432429645594,-0.493906567,-191.5900953,Brooklyn_10400,0.498591549,52.2044843,14000US36047010400,0.571933086,14.8,56.2,12164,0.434,1017,0.941696113074205,1939,2.364,387.9075677785911,151,67,0.38654248279275627,1.4381749740860166,79395.3125,2.534274193548387,1618.914876690533,555,30.329769109837837,36.44019974900441,0,0,0,9.91436065243183,4.399087176906838,0
18,128.01,3,Brooklyn,12801,3012801,E,BK30,Dyker Heights,4013,1238338.68508911,4828.98380795726,2117,2567,450,0.11504537886083357,11.504537886083357,0.21256495040151158,39.11500005092334,Brooklyn_12801,0.436832181,49.03125,14000US36047012801,0.718337408,7.7,2.2,24400,0.414,1161,0.8213820078226858,1939,1.13,184.01434468401047,155,31,0.12343715944441142,0.8588180368146783,83349.86818181818,2.190909090909091,1645.591286307054,267,25.84434018588015,23.208233363547848,2,2,1,13.472944461984707,2.694588892396941,1
19,137,3,Brooklyn,13700,3013700,I,BK37,Park Slope-Gowanus,4005,1638365.89788818,5226.63131290442,3057,3406,349,0.1522091070115056,15.22091070115056,0.11416421328099444,22.928982821876673,Brooklyn_13700,0.176983173,46.92468619,14000US36047013700,0.940547588,11.9,35.4,38874,0.482,1297,0.9351385390428212,1939,3.548,200.8421217377564,196,139,0.410541205571468,1.2428657919049673,90515.37639198218,2.629175946547884,1512.9521389241847,454,37.365382729603525,29.82738739579372,2,2,1,12.877021871311827,9.132173674042571,1
20,139,3,Brooklyn,13900,3013900,I,BK37,Park Slope-Gowanus,4005,1631336.51449585,5219.68047859193,3481,3727,246,0.15155605620620796,15.155605620620795,0.07066934788853778,16.231617934508083,Brooklyn_13900,0.139952558,40.3527115,14000US36047013900,0.905192949,9.3,12.6,39285,0.471,1446,0.8703271028037384,1939,3.233,229.68399199196193,269,179,0.2764922042608744,1.4897531905768293,73926.24852071005,2.666173570019724,1389.2272979471056,517,35.62477137713733,34.11279053715723,2,2,1,17.749208229197862,11.810811423890028,1
21,151,3,Brooklyn,15100,3015100,I,BK37,Park Slope-Gowanus,4005,1607114.22451782,5175.22189898683,3578,3696,118,0.149305732800379,14.930573280037901,0.03297931805477921,7.9032464317874105,Brooklyn_15100,0.10444136,43.93308021,14000US36047015100,0.956278326,4.1,8.5,62362,0.458,1825,0.9625144175317186,1939,3.014,239.64250621131657,311,218,0.1969597952903462,1.7291573324962306,69765.47892720306,2.8558429118773945,1358.256582257253,533,36.900515340938085,35.69856227239568,1,1,1,20.82974271428716,14.60091289940386,1
22,153,3,Brooklyn,15300,3015300,I,BK37,Park Slope-Gowanus,4005,1619490.2711792,5188.38138490879,3041,2633,-408,0.15045550466336122,15.04555046633612,-0.134166393,-27.11765189,Brooklyn_15300,0.035662651,43.65733235,14000US36047015300,0.931564783,5,10,71452,0.451,1737,0.9628305932809149,1939,3.257,202.11955732720637,290,193,0.8748251020372446,1.3996037334900469,339020.3925233645,2.8948598130841123,1992.8934624697335,418,40.73012982758373,27.782300217945497,0,0,0,19.274801586612906,12.827712780056176,0
23,155,3,Brooklyn,15500,3015500,I,BK37,Park Slope-Gowanus,4005,1610814.58120728,5181.35151636045,3272,3466,194,0.14964950703789995,14.964950703789995,0.059290953545232276,12.96362439408958,Brooklyn_15500,0.05621666,43.31536926,14000US36047015500,0.93935991,4.4,6.2,58209,0.436,1794,0.9925233644859813,1939,1.871,218.64422173949023,304,211,0.3116257817053819,1.752716317025318,119810.4677804296,3.2446300715990453,1651.6042662743655,423,42.53476245962175,28.266047003607692,2,1,1,20.314133071150682,14.099612098726295,1
